period,bet,n,k,hit,roi,lo,hi,pnl
探索,3連単,80628,1,0.0977,0.8238,0.805,0.845,-1420340
探索,3連単,80628,2,0.1777,0.818,0.806,0.832,-2934860
探索,3連単,80628,3,0.2416,0.815,0.804,0.826,-4473870
探索,3連単,80628,4,0.2966,0.8106,0.801,0.821,-6109340
探索,3連単,80628,5,0.3443,0.8124,0.803,0.821,-7564260
探索,3連単,80628,6,0.3862,0.8067,0.798,0.815,-9349540
探索,3連単,80628,7,0.424,0.8078,0.8,0.816,-10846232
探索,3連単,80628,8,0.4577,0.8046,0.797,0.813,-12606440
探索,3連単,80628,9,0.487,0.8016,0.795,0.809,-14394768
探索,3連単,80628,10,0.5163,0.8053,0.798,0.812,-15701632
探索,3連単,80628,11,0.5409,0.8023,0.796,0.809,-17535264
探索,3連単,80628,12,0.5641,0.8005,0.793,0.808,-19305472
探索,3連単,80628,13,0.5864,0.8027,0.796,0.811,-20676208
探索,3連単,80628,14,0.6059,0.802,0.795,0.809,-22353024
探索,3連単,80628,15,0.6237,0.7993,0.792,0.806,-24278128
探索,3連単,80628,16,0.6402,0.7956,0.789,0.802,-26373744
探索,3連単,80628,17,0.6562,0.7963,0.79,0.803,-27915216
探索,3連単,80628,18,0.6707,0.7945,0.788,0.801,-29829688
探索,3連単,80628,19,0.685,0.7947,0.788,0.801,-31453904
探索,3連単,80628,20,0.6978,0.7928,0.786,0.8,-33406952
探索,3連単,80628,25,0.7506,0.7762,0.769,0.783,-45102160
探索,3連単,80628,30,0.7914,0.7662,0.76,0.772,-56558000
探索,3連単,80628,35,0.8243,0.7552,0.749,0.762,-69093088
探索,3連単,80628,40,0.8527,0.7501,0.743,0.757,-80605792
探索,3連単,80628,45,0.8749,0.7387,0.732,0.746,-94804432
探索,3連単,80628,50,0.894,0.7305,0.723,0.737,-108640736
探索,3連単,80628,55,0.9112,0.7256,0.718,0.733,-121700336
探索,3連単,80628,60,0.9264,0.7189,0.712,0.727,-135968928
探索,3連単,80628,65,0.9389,0.709,0.701,0.717,-152501168
探索,3連単,80628,70,0.9492,0.7016,0.694,0.709,-168394080
探索,3連単,80628,75,0.9581,0.6936,0.686,0.702,-185278416
探索,3連単,80628,80,0.966,0.6839,0.676,0.692,-203911808
探索,3連単,80628,85,0.973,0.6766,0.668,0.685,-221609840
探索,3連単,80628,90,0.9793,0.6693,0.661,0.678,-239937248
探索,3連単,80628,95,0.9849,0.662,0.654,0.67,-258920240
探索,3連単,80628,100,0.9887,0.6494,0.641,0.658,-282691296
探索,3連単,80628,105,0.9925,0.6409,0.633,0.649,-304017616
探索,3連単,80628,110,0.9954,0.63,0.621,0.639,-328199776
探索,3連単,80628,115,0.9981,0.6218,0.613,0.63,-350679344
探索,3連単,80628,120,1.0,0.6115,0.601,0.62,-375868928
探索,3連複,80628,1,0.252,0.8299,0.819,0.841,-1371860
探索,3連複,80628,2,0.4146,0.8175,0.81,0.825,-2942550
探索,3連複,80628,3,0.5421,0.8183,0.813,0.824,-4395900
探索,3連複,80628,4,0.6317,0.8156,0.81,0.822,-5947870
探索,3連複,80628,5,0.7033,0.8091,0.803,0.815,-7694380
探索,3連複,80628,6,0.7614,0.8033,0.798,0.809,-9516080
探索,3連複,80628,7,0.8075,0.796,0.791,0.801,-11513288
探索,3連複,80628,8,0.8449,0.7901,0.785,0.795,-13538300
探索,3連複,80628,9,0.8759,0.7796,0.774,0.784,-15993248
探索,3連複,80628,10,0.9008,0.7662,0.761,0.771,-18847472
探索,3連複,80628,11,0.9178,0.7475,0.743,0.753,-22397488
探索,3連複,80628,12,0.9328,0.7313,0.726,0.736,-25996840
探索,3連複,80628,13,0.9464,0.7191,0.713,0.725,-29447944
探索,3連複,80628,14,0.958,0.7033,0.698,0.71,-33486040
探索,3連複,80628,15,0.968,0.689,0.683,0.695,-37614992
探索,3連複,80628,16,0.9774,0.6766,0.671,0.683,-41716600
探索,3連複,80628,17,0.9841,0.6614,0.655,0.668,-46417376
探索,3連複,80628,18,0.9904,0.6485,0.643,0.655,-51019184
探索,3連複,80628,19,0.9963,0.6371,0.631,0.643,-55597344
探索,3連複,80628,20,1.0,0.6204,0.614,0.626,-61218816
探索,2連単,80628,1,0.2344,0.8174,0.806,0.83,-1472370
探索,2連単,80628,2,0.3997,0.8206,0.813,0.828,-2893360
探索,2連単,80628,3,0.5156,0.8203,0.814,0.827,-4346410
探索,2連単,80628,4,0.5994,0.8203,0.814,0.827,-5795660
探索,2連単,80628,5,0.6602,0.8173,0.811,0.823,-7364450
探索,2連単,80628,6,0.708,0.8099,0.804,0.816,-9194312
探索,2連単,80628,7,0.7467,0.8022,0.795,0.809,-11165248
探索,2連単,80628,8,0.7796,0.7973,0.79,0.803,-13072928
探索,2連単,80628,9,0.8067,0.7895,0.782,0.796,-15272208
探索,2連単,80628,10,0.8298,0.7779,0.771,0.784,-17903580
探索,2連単,80628,11,0.8513,0.7727,0.766,0.778,-20162144
探索,2連単,80628,12,0.8706,0.7661,0.759,0.772,-22631048
探索,2連単,80628,13,0.8883,0.7623,0.756,0.769,-24916040
探索,2連単,80628,14,0.9033,0.7574,0.751,0.764,-27383960
探索,2連単,80628,15,0.9166,0.7496,0.743,0.756,-30280360
探索,2連単,80628,16,0.9283,0.7424,0.736,0.748,-33235152
探索,2連単,80628,17,0.9386,0.7351,0.728,0.741,-36307000
探索,2連単,80628,18,0.9477,0.7254,0.719,0.732,-39846480
探索,2連単,80628,19,0.9563,0.7178,0.711,0.724,-43237280
探索,2連単,80628,20,0.9641,0.7109,0.704,0.718,-46618320
探索,2連単,80628,21,0.9703,0.7039,0.697,0.711,-50137328
探索,2連単,80628,22,0.9754,0.6923,0.685,0.7,-54585784
探索,2連単,80628,23,0.9798,0.6801,0.673,0.688,-59316960
探索,2連単,80628,24,0.9839,0.6703,0.663,0.678,-63789808
探索,2連単,80628,25,0.9876,0.662,0.655,0.67,-68122344
探索,2連単,80628,26,0.9909,0.6537,0.646,0.662,-72600256
探索,2連単,80628,27,0.9939,0.6455,0.638,0.654,-77173488
探索,2連単,80628,28,0.9964,0.6364,0.628,0.644,-82083360
探索,2連単,80628,29,0.9985,0.6267,0.619,0.634,-87288336
探索,2連単,80628,30,1.0,0.615,0.607,0.622,-93123776
探索,2連複,80628,1,0.3264,0.8443,0.836,0.853,-1255260
探索,2連複,80628,2,0.5266,0.853,0.846,0.861,-2371210
探索,2連複,80628,3,0.6639,0.8498,0.843,0.856,-3634280
探索,2連複,80628,4,0.7542,0.8443,0.839,0.85,-5020290
探索,2連複,80628,5,0.8142,0.8281,0.823,0.834,-6930790
探索,2連複,80628,6,0.8563,0.8034,0.798,0.809,-9509312
探索,2連複,80628,7,0.8908,0.7842,0.779,0.791,-12180328
探索,2連複,80628,8,0.9187,0.7665,0.76,0.773,-15060168
探索,2連複,80628,9,0.9406,0.7441,0.737,0.75,-18570960
探索,2連複,80628,10,0.9584,0.7279,0.721,0.734,-21942352
