stadium,name,e_n,e_hit,e_roi,e_lo,e_hi,e_pnl,c_n,c_hit,c_roi,c_lo,c_hi,c_pnl
1,桐生,135,0.2296,0.8609,0.595,1.133,-46470,70,0.2429,0.8341,0.464,1.254,-28210
2,戸田,79,0.2911,0.8124,0.563,1.099,-39780,55,0.2727,0.8811,0.48,1.283,-17000
3,江戸川,37,0.2432,0.7453,0.326,1.224,-25980,39,0.3077,0.786,0.42,1.188,-23330
4,平和島,63,0.2857,1.1137,0.68,1.587,18870,54,0.2037,0.5624,0.276,0.868,-62580
5,多摩川,117,0.2393,0.9056,0.613,1.245,-27270,109,0.2385,0.9378,0.582,1.336,-16680
6,浜名湖,156,0.25,0.9463,0.703,1.242,-20260,98,0.1633,0.5287,0.307,0.839,-114530
7,蒲郡,310,0.2806,1.0091,0.821,1.213,6990,149,0.2685,0.9378,0.707,1.246,-24450
8,常滑,238,0.2437,0.8974,0.701,1.098,-60420,149,0.2685,1.0349,0.732,1.29,13390
9,津,234,0.2179,0.8151,0.586,1.008,-109440,189,0.2487,0.8407,0.641,1.059,-77730
10,三国,172,0.1919,0.7338,0.495,0.985,-108330,150,0.2467,0.9298,0.657,1.249,-25490
11,びわこ,149,0.2685,1.0545,0.762,1.358,19720,108,0.2963,0.9781,0.699,1.319,-6340
12,住之江,147,0.2245,0.8662,0.612,1.165,-45480,140,0.1929,0.6944,0.475,0.953,-107890
13,尼崎,272,0.239,0.8679,0.675,1.064,-86810,223,0.2108,0.7597,0.559,0.976,-133100
14,鳴門,89,0.191,0.6342,0.373,0.904,-81950,63,0.2857,1.1675,0.665,1.698,25960
15,丸亀,180,0.25,0.9722,0.706,1.21,-11380,127,0.2598,0.9176,0.641,1.273,-25530
16,児島,239,0.2134,0.8232,0.608,1.025,-100050,127,0.1575,0.6401,0.382,0.922,-109760
17,宮島,202,0.2228,0.8232,0.583,1.054,-88060,125,0.24,0.9247,0.616,1.225,-23560
18,徳山,491,0.2301,0.8566,0.72,1.02,-175210,250,0.216,0.7038,0.535,0.878,-191350
19,下関,203,0.1773,0.6388,0.447,0.84,-174470,212,0.25,0.8228,0.608,1.018,-95160
20,若松,191,0.2147,0.7811,0.575,1.009,-99600,177,0.2147,0.8707,0.631,1.113,-53290
21,芦屋,195,0.2,0.7623,0.533,1.002,-113130,176,0.2443,0.9055,0.676,1.139,-43270
22,福岡,218,0.211,0.7662,0.546,0.98,-120430,176,0.1875,0.6839,0.474,0.925,-136850
23,唐津,245,0.1878,0.7779,0.584,0.997,-128830,192,0.224,0.8513,0.608,1.083,-68250
24,大村,350,0.2114,0.7152,0.571,0.884,-248930,234,0.235,0.7647,0.597,0.968,-144970
