stadium_code,stadium,course,n,win_rate,top2_rate,top3_rate,avg_st
1,桐生,1,19968,0.5199,0.6977,0.7936,0.165
1,桐生,2,19968,0.1325,0.384,0.5661,0.175
1,桐生,3,19968,0.1292,0.3452,0.5458,0.167
1,桐生,4,19968,0.1242,0.284,0.484,0.165
1,桐生,5,19963,0.0736,0.2081,0.3995,0.165
1,桐生,6,19750,0.0208,0.082,0.2134,0.182
2,戸田,1,20193,0.4331,0.6139,0.7241,0.154
2,戸田,2,20193,0.1589,0.3903,0.5702,0.163
2,戸田,3,20193,0.1602,0.3578,0.5392,0.158
2,戸田,4,20193,0.1514,0.3243,0.5094,0.159
2,戸田,5,20186,0.0718,0.211,0.4039,0.166
2,戸田,6,19924,0.0251,0.1043,0.2563,0.183
3,江戸川,1,18252,0.4645,0.6645,0.7715,0.161
3,江戸川,2,18252,0.1797,0.4139,0.5939,0.171
3,江戸川,3,18252,0.1401,0.3368,0.5301,0.171
3,江戸川,4,18252,0.1191,0.2715,0.4473,0.178
3,江戸川,5,18247,0.0652,0.1923,0.3767,0.19
3,江戸川,6,17847,0.0322,0.1237,0.2859,0.21
4,平和島,1,18833,0.4497,0.6378,0.7511,0.149
4,平和島,2,18833,0.1691,0.3998,0.5808,0.159
4,平和島,3,18833,0.1408,0.3332,0.5187,0.154
4,平和島,4,18833,0.1303,0.3053,0.4908,0.153
4,平和島,5,18832,0.0789,0.2093,0.3849,0.157
4,平和島,6,18589,0.0316,0.1161,0.2769,0.173
5,多摩川,1,19707,0.5287,0.6993,0.7897,0.159
5,多摩川,2,19707,0.1524,0.3996,0.5779,0.171
5,多摩川,3,19707,0.1244,0.3323,0.5319,0.163
5,多摩川,4,19707,0.1142,0.2903,0.4835,0.156
5,多摩川,5,19705,0.0616,0.1904,0.3782,0.16
5,多摩川,6,19517,0.0188,0.0891,0.2408,0.175
6,浜名湖,1,20845,0.5239,0.702,0.7917,0.151
6,浜名湖,2,20845,0.1459,0.3909,0.5686,0.166
6,浜名湖,3,20845,0.1367,0.3443,0.5433,0.165
6,浜名湖,4,20845,0.1091,0.2846,0.4849,0.172
6,浜名湖,5,20841,0.0659,0.1986,0.3937,0.176
6,浜名湖,6,20570,0.0188,0.0808,0.2206,0.193
7,蒲郡,1,20278,0.5581,0.7271,0.8172,0.16
7,蒲郡,2,20278,0.1229,0.3618,0.5473,0.17
7,蒲郡,3,20278,0.1234,0.3407,0.5366,0.164
7,蒲郡,4,20278,0.1182,0.3047,0.5209,0.163
7,蒲郡,5,20276,0.0601,0.1971,0.3845,0.166
7,蒲郡,6,20048,0.0174,0.0694,0.1952,0.183
8,常滑,1,20966,0.5733,0.7347,0.8219,0.153
8,常滑,2,20966,0.1234,0.3733,0.5623,0.17
8,常滑,3,20966,0.11,0.3306,0.5295,0.169
8,常滑,4,20966,0.1092,0.2863,0.4857,0.173
8,常滑,5,20962,0.0644,0.192,0.3818,0.175
8,常滑,6,20745,0.0199,0.0842,0.2209,0.189
9,津,1,19479,0.5752,0.7454,0.8264,0.152
9,津,2,19479,0.1451,0.4178,0.6022,0.161
9,津,3,19479,0.1154,0.3215,0.5338,0.159
9,津,4,19479,0.0948,0.2714,0.4839,0.168
9,津,5,19476,0.0519,0.1711,0.3503,0.176
9,津,6,19249,0.0178,0.0738,0.2057,0.193
10,三国,1,19735,0.537,0.7238,0.8081,0.15
10,三国,2,19735,0.1588,0.4244,0.6099,0.163
10,三国,3,19735,0.1383,0.3487,0.5538,0.161
10,三国,4,19735,0.0987,0.2727,0.4896,0.164
10,三国,5,19733,0.0521,0.165,0.3437,0.167
10,三国,6,19532,0.0153,0.0661,0.1974,0.182
11,びわこ,1,19319,0.5278,0.7091,0.7977,0.154
11,びわこ,2,19319,0.1491,0.4081,0.5874,0.169
11,びわこ,3,19319,0.1345,0.3421,0.5453,0.168
11,びわこ,4,19319,0.1126,0.2832,0.4898,0.177
11,びわこ,5,19317,0.0573,0.1775,0.3615,0.181
11,びわこ,6,19107,0.0191,0.0808,0.2208,0.195
12,住之江,1,19909,0.5857,0.7475,0.8313,0.155
12,住之江,2,19909,0.1417,0.399,0.5862,0.161
12,住之江,3,19909,0.1147,0.3463,0.5551,0.155
12,住之江,4,19908,0.0953,0.2722,0.4771,0.149
12,住之江,5,19906,0.0483,0.1667,0.3459,0.154
12,住之江,6,19702,0.0144,0.0691,0.2063,0.172
13,尼崎,1,19498,0.5863,0.7506,0.8343,0.173
13,尼崎,2,19498,0.1279,0.3753,0.558,0.178
13,尼崎,3,19498,0.1157,0.3325,0.5381,0.167
13,尼崎,4,19498,0.0988,0.2839,0.4965,0.161
13,尼崎,5,19494,0.0547,0.1819,0.363,0.164
13,尼崎,6,19281,0.0169,0.0769,0.213,0.178
14,鳴門,1,18927,0.4897,0.6729,0.7701,0.145
14,鳴門,2,18927,0.1586,0.3974,0.5783,0.157
14,鳴門,3,18927,0.1463,0.3497,0.5391,0.152
14,鳴門,4,18927,0.1117,0.2892,0.4869,0.155
14,鳴門,5,18923,0.0728,0.2021,0.3881,0.161
14,鳴門,6,18724,0.0212,0.0897,0.2406,0.179
15,丸亀,1,20364,0.5557,0.7354,0.8201,0.15
15,丸亀,2,20364,0.1415,0.3945,0.5771,0.163
15,丸亀,3,20364,0.1197,0.3217,0.5202,0.158
15,丸亀,4,20364,0.1033,0.2842,0.4956,0.159
15,丸亀,5,20360,0.06,0.1788,0.3545,0.164
15,丸亀,6,20124,0.02,0.0864,0.2344,0.178
16,児島,1,20339,0.5638,0.7366,0.8184,0.155
16,児島,2,20339,0.1329,0.3869,0.5707,0.167
16,児島,3,20339,0.1184,0.316,0.5213,0.161
16,児島,4,20339,0.106,0.2939,0.5019,0.155
16,児島,5,20338,0.0598,0.1808,0.3617,0.158
16,児島,6,20096,0.0193,0.0868,0.2285,0.174
17,宮島,1,20756,0.569,0.7317,0.8154,0.153
17,宮島,2,20756,0.1252,0.3808,0.5737,0.168
17,宮島,3,20756,0.1246,0.3518,0.5571,0.166
17,宮島,4,20756,0.0996,0.2672,0.4675,0.173
17,宮島,5,20753,0.0617,0.1862,0.3712,0.175
17,宮島,6,20482,0.0201,0.0833,0.2181,0.187
18,徳山,1,20543,0.6322,0.7943,0.8657,0.157
18,徳山,2,20543,0.1364,0.4229,0.6085,0.167
18,徳山,3,20543,0.0944,0.3104,0.527,0.161
18,徳山,4,20543,0.082,0.2575,0.4777,0.164
18,徳山,5,20540,0.0446,0.1577,0.3417,0.167
