stadium_code,stadium,まくり,まくり差し,差し,恵まれ,抜き,逃げ
1,桐生,0.1759,0.1336,0.1231,0.0065,0.0664,0.4945
2,戸田,0.2549,0.1176,0.1357,0.0083,0.0787,0.4048
3,江戸川,0.1893,0.1054,0.154,0.0151,0.1093,0.427
4,平和島,0.1803,0.1291,0.181,0.0108,0.0777,0.4211
5,多摩川,0.1668,0.1195,0.1365,0.0072,0.0634,0.5066
6,浜名湖,0.1414,0.1464,0.1331,0.0116,0.0708,0.4968
7,蒲郡,0.1625,0.1328,0.1009,0.0079,0.059,0.5369
8,常滑,0.1529,0.1223,0.1084,0.0104,0.0566,0.5494
9,津,0.1157,0.1152,0.1445,0.0107,0.0661,0.5479
10,三国,0.1338,0.1139,0.1652,0.0084,0.0703,0.5084
11,びわこ,0.1514,0.1246,0.1466,0.0064,0.0701,0.5009
12,住之江,0.1457,0.0961,0.125,0.0077,0.064,0.5615
13,尼崎,0.1352,0.1169,0.1185,0.0059,0.0569,0.5665
14,鳴門,0.1732,0.1287,0.1499,0.0073,0.0798,0.461
15,丸亀,0.1279,0.1234,0.1464,0.0076,0.0642,0.5305
16,児島,0.1234,0.1298,0.1353,0.0077,0.0666,0.5373
17,宮島,0.1592,0.1128,0.1111,0.0062,0.0656,0.5451
18,徳山,0.1048,0.0863,0.1304,0.0061,0.0687,0.6037
19,下関,0.1305,0.1066,0.1174,0.0073,0.0648,0.5734
20,若松,0.1418,0.1008,0.1287,0.0082,0.083,0.5375
21,芦屋,0.1305,0.1099,0.0988,0.0078,0.0671,0.5859
22,福岡,0.1856,0.0793,0.1277,0.0076,0.0831,0.5166
23,唐津,0.1407,0.1191,0.142,0.0091,0.0733,0.516
24,大村,0.1079,0.1001,0.1084,0.0095,0.0636,0.6106
