stadium_code,stadium,n,avg_payout,median_payout,over5000_rate,manshu_rate
1,桐生,19962,7503.0,2780.0,0.3351,0.1808
2,戸田,20184,7502.0,3460.0,0.3779,0.191
3,江戸川,18237,7269.0,3290.0,0.3613,0.1834
4,平和島,18823,7880.0,3390.0,0.3735,0.1991
5,多摩川,19698,7325.0,2720.0,0.3245,0.1759
6,浜名湖,20838,7382.0,2730.0,0.3232,0.1782
7,蒲郡,20264,6876.0,2430.0,0.2966,0.1574
8,常滑,20958,7351.0,2410.0,0.2983,0.1678
9,津,19470,6925.0,2340.0,0.2886,0.1545
10,三国,19732,7500.0,2530.0,0.3092,0.175
11,びわこ,19314,7341.0,2640.0,0.3155,0.1727
12,住之江,19899,7301.0,2320.0,0.2897,0.1612
13,尼崎,19497,6834.0,2210.0,0.2798,0.1517
14,鳴門,18920,7945.0,2970.0,0.3496,0.1947
15,丸亀,20345,7334.0,2600.0,0.3151,0.171
16,児島,20330,7538.0,2570.0,0.3197,0.1772
17,宮島,20747,7390.0,2450.0,0.3081,0.1741
18,徳山,20536,6774.0,1950.0,0.2599,0.1436
19,下関,19289,6947.0,2260.0,0.2901,0.161
20,若松,19963,7277.0,2560.0,0.3137,0.1736
21,芦屋,20248,7555.0,2140.0,0.2859,0.1631
22,福岡,19638,6750.0,2330.0,0.2897,0.1541
23,唐津,19957,7380.0,2390.0,0.2968,0.164
24,大村,20601,6464.0,1970.0,0.2589,0.1439
