stadium_code,stadium,wind_dir,wind_band,wave_band,n,c1_win_rate,avg_payout
1,桐生,北北東,1-2,1-3,1036,0.5261,7644.0
1,桐生,北北東,3-4,1-3,555,0.5063,7998.0
1,桐生,北北東,3-4,4-6,79,0.5063,7693.0
1,桐生,北北東,5-6,4-6,653,0.4809,8143.0
1,桐生,北北東,7+,4-6,106,0.434,6951.0
1,桐生,北北東,7+,7-10,497,0.4588,8516.0
1,桐生,南南東,1-2,1-3,2363,0.5751,6931.0
1,桐生,南南東,3-4,1-3,507,0.57,7058.0
1,桐生,南南西,1-2,1-3,2206,0.4977,7669.0
1,桐生,南南西,3-4,1-3,3091,0.4953,7941.0
1,桐生,南南西,5-6,4-6,381,0.5433,8317.0
1,桐生,東北東,1-2,1-3,1534,0.5567,7145.0
1,桐生,東北東,3-4,1-3,753,0.49,8256.0
1,桐生,東北東,3-4,4-6,50,0.48,7425.0
1,桐生,東北東,5-6,4-6,569,0.4851,7606.0
1,桐生,東北東,5-6,7-10,35,0.5143,5271.0
1,桐生,東北東,7+,4-6,140,0.4357,7981.0
1,桐生,東北東,7+,7-10,607,0.4629,7210.0
1,桐生,東南東,1-2,1-3,1157,0.5635,6933.0
1,桐生,東南東,3-4,1-3,158,0.538,6678.0
1,桐生,無風,0,0,3481,0.547,7243.0
1,桐生,西北西,1-2,1-3,108,0.5556,7529.0
1,桐生,西南西,1-2,1-3,963,0.4818,7208.0
1,桐生,西南西,3-4,1-3,398,0.3744,9366.0
1,桐生,西南西,5-6,4-6,53,0.5094,5667.0
2,戸田,北北東,1-2,1-3,257,0.4786,6287.0
2,戸田,北北東,3-4,1-3,229,0.5066,6718.0
2,戸田,北北東,5-6,1-3,49,0.4898,7416.0
2,戸田,北北西,1-2,0,218,0.4312,6357.0
2,戸田,北北西,1-2,1-3,1487,0.4593,7597.0
2,戸田,北北西,3-4,1-3,714,0.451,8047.0
2,戸田,北北西,5-6,1-3,215,0.386,7129.0
2,戸田,北北西,5-6,4-6,95,0.4316,6986.0
2,戸田,北北西,7+,4-6,99,0.404,6921.0
2,戸田,南南東,1-2,0,394,0.3934,7560.0
2,戸田,南南東,1-2,1-3,1465,0.4048,7227.0
2,戸田,南南東,3-4,1-3,352,0.4148,7652.0
2,戸田,南南東,5-6,1-3,66,0.3788,6332.0
2,戸田,南南西,1-2,0,65,0.4615,9723.0
2,戸田,南南西,1-2,1-3,731,0.4473,8084.0
2,戸田,南南西,3-4,1-3,334,0.4042,7778.0
2,戸田,東北東,1-2,0,63,0.3492,9847.0
2,戸田,東北東,1-2,1-3,293,0.3993,6370.0
2,戸田,東北東,3-4,1-3,142,0.4296,8564.0
2,戸田,東南東,1-2,0,98,0.4082,8474.0
2,戸田,東南東,1-2,1-3,948,0.4272,6941.0
2,戸田,東南東,3-4,1-3,945,0.4106,7565.0
2,戸田,東南東,5-6,1-3,303,0.4257,7637.0
2,戸田,東南東,5-6,4-6,368,0.3859,6715.0
2,戸田,東南東,7+,4-6,422,0.41,7126.0
2,戸田,東南東,7+,7-10,266,0.4023,6384.0
2,戸田,無風,0,0,5455,0.4293,7525.0
2,戸田,西北西,1-2,0,70,0.5286,6837.0
2,戸田,西北西,1-2,1-3,982,0.4165,7828.0
2,戸田,西北西,3-4,1-3,889,0.4713,7824.0
2,戸田,西北西,5-6,1-3,88,0.4091,8602.0
2,戸田,西北西,5-6,4-6,75,0.4933,9424.0
2,戸田,西南西,1-2,0,150,0.4867,7504.0
2,戸田,西南西,1-2,1-3,1365,0.4454,7275.0
2,戸田,西南西,3-4,1-3,1081,0.4487,7250.0
2,戸田,西南西,3-4,4-6,33,0.4545,14135.0
2,戸田,西南西,5-6,1-3,194,0.4072,7063.0
2,戸田,西南西,5-6,4-6,157,0.4777,9518.0
2,戸田,西南西,7+,4-6,39,0.3333,9167.0
3,江戸川,北北東,1-2,4-6,315,0.5111,5409.0
3,江戸川,北北東,3-4,4-6,631,0.4945,7305.0
3,江戸川,北北東,3-4,7-10,70,0.5571,4778.0
3,江戸川,北北東,5-6,4-6,257,0.4942,7661.0
3,江戸川,北北東,5-6,7-10,51,0.3725,7749.0
3,江戸川,北北西,1-2,4-6,550,0.4655,6708.0
3,江戸川,北北西,1-2,7-10,48,0.4792,7808.0
3,江戸川,北北西,3-4,4-6,285,0.4877,7418.0
3,江戸川,北北西,3-4,7-10,31,0.6774,4941.0
3,江戸川,北北西,5-6,4-6,49,0.5102,8398.0
3,江戸川,南南東,1-2,4-6,161,0.5217,5798.0
3,江戸川,南南東,3-4,4-6,55,0.4545,7773.0
3,江戸川,南南西,1-2,4-6,157,0.5096,5936.0
3,江戸川,南南西,3-4,4-6,373,0.4853,6483.0
3,江戸川,南南西,3-4,7-10,100,0.54,6659.0
3,江戸川,南南西,3-4,11+,40,0.525,7906.0
3,江戸川,南南西,5-6,4-6,220,0.4455,5492.0
3,江戸川,南南西,5-6,7-10,175,0.4743,7563.0
3,江戸川,南南西,5-6,11+,122,0.418,10425.0
3,江戸川,南南西,7+,4-6,45,0.4889,8534.0
3,江戸川,南南西,7+,7-10,80,0.4875,9066.0
3,江戸川,南南西,7+,11+,202,0.4307,6296.0
3,江戸川,東北東,1-2,4-6,474,0.4979,6218.0
3,江戸川,東北東,3-4,4-6,1111,0.4572,7667.0
3,江戸川,東北東,3-4,7-10,209,0.4545,8178.0
3,江戸川,東北東,3-4,11+,38,0.3947,11211.0
3,江戸川,東北東,5-6,4-6,996,0.4729,6739.0
3,江戸川,東北東,5-6,7-10,480,0.4375,8853.0
3,江戸川,東北東,5-6,11+,295,0.4576,7431.0
3,江戸川,東北東,7+,4-6,357,0.4594,6136.0
3,江戸川,東北東,7+,7-10,430,0.4698,6460.0
3,江戸川,東北東,7+,11+,1062,0.3879,7420.0
3,江戸川,東南東,1-2,4-6,217,0.447,7140.0
3,江戸川,東南東,3-4,4-6,566,0.4788,7169.0
3,江戸川,東南東,3-4,7-10,114,0.4298,9126.0
3,江戸川,東南東,3-4,11+,32,0.5,4648.0
3,江戸川,東南東,5-6,4-6,289,0.4083,6481.0
3,江戸川,東南東,5-6,7-10,161,0.4037,7787.0
3,江戸川,東南東,5-6,11+,133,0.4135,6038.0
3,江戸川,東南東,7+,4-6,67,0.5075,4913.0
3,江戸川,東南東,7+,7-10,156,0.5192,7055.0
3,江戸川,東南東,7+,11+,274,0.4526,9085.0
3,江戸川,無風,0,4-6,257,0.4747,10106.0
3,江戸川,西北西,1-2,4-6,540,0.4667,7891.0
3,江戸川,西北西,3-4,4-6,1285,0.4778,7002.0
3,江戸川,西北西,3-4,7-10,175,0.5029,6416.0
3,江戸川,西北西,5-6,4-6,759,0.4677,6542.0
3,江戸川,西北西,5-6,7-10,360,0.475,8039.0
3,江戸川,西北西,5-6,11+,160,0.5688,7051.0
3,江戸川,西北西,7+,4-6,110,0.4,5481.0
3,江戸川,西北西,7+,7-10,129,0.4961,6173.0
3,江戸川,西北西,7+,11+,147,0.5238,6813.0
3,江戸川,西南西,1-2,4-6,537,0.4749,7417.0
